relation,bucket,gate_mean,gate_std,n,variant
follow,0,0.4917,0.01,409,GatedBotRGCN-global
follow,0.01-0.25,0.4873,0.0107,30,GatedBotRGCN-global
follow,0.26-0.50,0.4877,0.013,206,GatedBotRGCN-global
follow,0.51+,0.492,0.0102,538,GatedBotRGCN-global
following,0,0.4908,0.0118,409,GatedBotRGCN-global
following,0.01-0.25,0.4849,0.0138,30,GatedBotRGCN-global
following,0.26-0.50,0.4868,0.0145,206,GatedBotRGCN-global
following,0.51+,0.4933,0.0102,538,GatedBotRGCN-global
follow,0,0.49,0.009,409,GatedBotRGCN-rel
follow,0.01-0.25,0.4871,0.0072,30,GatedBotRGCN-rel
follow,0.26-0.50,0.4873,0.0105,206,GatedBotRGCN-rel
follow,0.51+,0.4899,0.0095,538,GatedBotRGCN-rel
following,0,0.4977,0.0112,409,GatedBotRGCN-rel
following,0.01-0.25,0.4945,0.0072,30,GatedBotRGCN-rel
following,0.26-0.50,0.4999,0.0124,206,GatedBotRGCN-rel
following,0.51+,0.5009,0.0141,538,GatedBotRGCN-rel
follow,0,0.8191,0.17,409,SoftContrastBotRGCN-global
follow,0.01-0.25,0.8044,0.2104,30,SoftContrastBotRGCN-global
follow,0.26-0.50,0.7559,0.2039,206,SoftContrastBotRGCN-global
follow,0.51+,0.8252,0.1791,538,SoftContrastBotRGCN-global
following,0,0.9655,0.0527,409,SoftContrastBotRGCN-global
following,0.01-0.25,0.9533,0.0576,30,SoftContrastBotRGCN-global
following,0.26-0.50,0.9821,0.0343,206,SoftContrastBotRGCN-global
following,0.51+,0.975,0.0446,538,SoftContrastBotRGCN-global
follow,0,0.8746,0.1877,409,SoftContrastBotRGCN-rel
follow,0.01-0.25,0.812,0.2231,30,SoftContrastBotRGCN-rel
follow,0.26-0.50,0.7996,0.2221,206,SoftContrastBotRGCN-rel
follow,0.51+,0.8534,0.2043,538,SoftContrastBotRGCN-rel
following,0,0.8764,0.1642,409,SoftContrastBotRGCN-rel
following,0.01-0.25,0.9184,0.1377,30,SoftContrastBotRGCN-rel
following,0.26-0.50,0.9389,0.1167,206,SoftContrastBotRGCN-rel
following,0.51+,0.8972,0.1596,538,SoftContrastBotRGCN-rel
